SKU,Price,Product_Name,CDW_Part
BE425M,$61.99,APC Back-UPS 425VA 6-Outlet Battery Back-Up and Surge Protector,4291050
BE600M1,$79.99,APC Back-UPS 600VA 7-Outlet/1-USB Battery Back-Up and Surge Protector,4170648
BE850M2,SKU Not found,Not applicable,Not applicable
3S350,SKU Not found,Not applicable,Not applicable
3S550,$77.99,Eaton 3S UPS 550VA 330W Battery Backup Standby UPS 120V 8 Outlet 5-15P,2437699
3S750,SKU Not found,Not applicable,Not applicable
BC350,$103.99,LG BP350 - Blu-ray disc player,6466217
AVR550U,$87.99,Tripp Lite UPS Desktop 550VA 300W Line-Interactive Battery Back Up AVR RJ11,856572
AVR750U,SKU Not found,Not applicable,Not applicable
PST5-350MT120,$61.99,"Vertiv Liebert PST5 350VA 200W UPS, batt. backup, surge protection, 8 plug",5100131
PST5-500MT120,$71.99,"Vertiv Liebert PST5 500VA 300W UPS, batt. backup, surge protection, 8 plug",5100133
PST5-850MT120,$99.99,"Vertiv Liebert PST5 850VA 500W UPS, batt. backup, surge protection, 8 plug",5101258
CP350SLG,$53.95,CyberPower Standby Series CP350SLG - UPS - 255 Watt - 350 VA,2554649
CP550SLG,$69.95,CyberPower CP550SLG,1965894
CP750LCD,$98.95,CyberPower Intelligent LCD CP750LCD - UPS - 420 Watt - 750 VA,2734456
BR700G,$135.99,APC Back-UPS Pro 700VA 6-Outlet Battery Back-Up and Surge Protector,1902283
BR1000MS,$172.99,APC Back-UPS Pro 1000VA 10-Outlet/2-USB Battery Back-Up and Surge Protector,4928910
BR1500MS,SKU Not found,Not applicable,Not applicable
BX1000M,$183.99,APC Back-UPS Pro Compact 1000VA 8-Outlet Battery Back-Up + Surge Protector,4527016
BX1500M,$229.99,APC Back-UPS Pro Compact 1500VA 10-Outlet Battery Back-Up + Surge Protector,4584120
5S700LCD,$133.99,Eaton 5S UPS 700VA 420W 120V Line-Interactive Battery Backup Tower USB LCD,3063599
5S1000LCD,$159.99,Eaton 5S UPS 1000VA 600W 120V LCD Line-Interactive Battery Backup ECO USB,3063592
5S1500LCD,$215.99,Eaton 5S UPS 1500VA 900W 120V LCD Line-Interactive Battery Backup ECO USB,3063594
OMNI650LCD,$157.99,Tripp Lite UPS 650VA 350W Battery Back Up Tower USB LCD AVR 120V 8 outlets,915841
SMART1000LCD,SKU Not found,Not applicable,Not applicable
SMART1500LCD,SKU Not found,Not applicable,Not applicable
CP600LCD,$87.95,CyberPower CP600LCD,1255904
CP1000AVRLCD,$159.95,CyberPower CP1000AVRLCD,1255913
CP1500AVRLCD,SKU Not found,Not applicable,Not applicable
CP1500PFCLCD,SKU Not found,Not applicable,Not applicable
SC420,SKU Not found,Not applicable,Not applicable
SC620,SKU Not found,Not applicable,Not applicable
SMC1000,SKU Not found,Not applicable,Not applicable
SMC1500,SKU Not found,Not applicable,Not applicable
5SC500,$205.99,Eaton 5SC UPS 500VA 350W 120V Line-Interactive Sine Wave Battery Backup,3119441
5SC750,SKU Not found,Not applicable,Not applicable
5SC1000,$339.99,Eaton 5SC UPS 1000 VA 700W 120V Line-Interactive Sine Wave Battery Backup,3121151
5SC1500,SKU Not found,Not applicable,Not applicable
BC600SINE,$183.99,Tripp Lite UPS Desktop 600VA 375W  Battery Backup Pure Sine Wave Tower 120V,2333921
SMART750,SKU Not found,Not applicable,Not applicable
SMART1050,SKU Not found,Not applicable,Not applicable
SMART1500,SKU Not found,Not applicable,Not applicable
OR750PFCLCD,$413.95,CyberPower PFC Sinewave Series OR1500PFCLCD - UPS - 1050 Watt - 1500 VA,3835011
OR1000PFCLCD,$328.95,CyberPower PFC Sinewave Series OR1000PFCLCD - UPS - 700 Watt - 1000 VA,4112132
OR1500PFCLCD,$413.95,CyberPower PFC Sinewave Series OR1500PFCLCD - UPS - 1050 Watt - 1500 VA,3835011
SMT750RM2UC,SKU Not found,Not applicable,Not applicable
SMT1000RM2UC,$639.99,"APC Smart-UPS 1000VA SmartConnect Port Sinewave 2U Rackmount, LCD, 120V",4818699
SMT1500RM2UC,SKU Not found,Not applicable,Not applicable
SMT2200RM2UC,"$1,543.99","APC Smart-UPS 2200VA SmartConnect Port Sinewave 2U Rackmount, LCD, 120V",4894880
SMT3000RM2UC,"$1,801.99","APC Smart-UPS 3000VA SmartConnect Port Sinewave 2U Rackmount, LCD, 120V",4894882
5P750R,SKU Not found,Not applicable,Not applicable
5P1000R,SKU Not found,Not applicable,Not applicable
5P1500R,SKU Not found,Not applicable,Not applicable
5P2200RT,"$1,379.99",Eaton 5P UPS 1950VA 1920W 120V 2U True Sine Wave Rack/Tower Net Card Option,2824739
5P3000RT,"$1,653.99",Eaton 5P UPS 3000VA 2700W 120V True SineWave Rack/Tower UPS Net Card Option,2824741
5P750RC,$507.99,Eaton 5P UPS 750VA 600W 120V Sine Wave 2U Rackmount UPS Net Card Optional,4489158
5P1000RC,$647.99,Eaton 5P UPS 1000VA 770W 120V 2U Rackmount True SineWave Net Card Optional,4489160
5P1500RC,$826.99,Eaton 5P UPS 1440VA 1100W 120V 2U Rackmount True SineWave Net Card Optional,4489163
SMART750RM1U,SKU Not found,Not applicable,Not applicable
SMART1000RM2U,SKU Not found,Not applicable,Not applicable
SMART1500RM2U,SKU Not found,Not applicable,Not applicable
SMART2200RM2U,SKU Not found,Not applicable,Not applicable
SMART3000RM2U,SKU Not found,Not applicable,Not applicable
PSI5-1000RM1201U,$738.99,Vertiv Liebert PSI5 UPS - 1000VA 1350W 1U Line Interactive AVR Rack Mount,5823827
PSI5-1500RM1201U,$914.99,Vertiv Liebert PSI5 UPS - 1440VA 1350W 1U Line Interactive AVR Rack Mount,5823834
PR750LCDRT1U,$475.95,CyberPower Smart App Sinewave PR750LCDRT1U - UPS - 600 Watt - 750 VA,3331794
PR1000LCDRT2U,SKU Not found,Not applicable,Not applicable
PR1500LCDRT2U,SKU Not found,Not applicable,Not applicable
PR2200LCDRT2U,$604.95,CyberPower Smart App Intelligent LCD OR2200LCDRT2U - UPS - 1320 Watt - 2000,3288248
PR3000LCDRT2U,$194.99,CyberPower RB1270X4A - UPS battery - lead acid - 7 Ah,3459068
SMT750C,SKU Not found,Not applicable,Not applicable
SMT1000C,SKU Not found,Not applicable,Not applicable
SMT1500C,SKU Not found,Not applicable,Not applicable
SMT2200C,"$1,231.99","APC Smart-UPS 2200VA SmartConnect Port Sinewave Tower, LCD, 120V",4894877
SMT3000C,"$1,754.99","APC Smart-UPS 3000VA SmartConnect Port Sinewave Tower, LCD, 120V",4894881
5P750,SKU Not found,Not applicable,Not applicable
5P1000,SKU Not found,Not applicable,Not applicable
5P1500,SKU Not found,Not applicable,Not applicable
5P2200,SKU Not found,Not applicable,Not applicable
5P3000,SKU Not found,Not applicable,Not applicable
SMART750SLT,$417.99,Tripp Lite UPS 750VA 500W Smart Tower AVR 100/110/120V USB DB9 SNMP RJ45,806103
SMART1050SLT,$521.99,Tripp Lite 1050VA 650W UPS Smart Tower AVR 120V Sine Wave USB DB9 8 Outlets,556703
SMART1500SLT,$649.99,Tripp Lite 1500VA 900W Smart Tower AVR UPS 120V Sine Wave,556713
SMART2200NET,"$1,105.99",Tripp Lite UPS 2200VA 1700W Smart Tower AVR 120V XL DB9 for Servers,071503
SMART3000NET,"$1,352.99",Tripp Lite UPS 3000VA 2400W Smart Tower AVR 120V XL DB9 for Servers,073732
PSI5-750MT120,$374.99,Vertiv Liebert PSI5 UPS - 750VA 675W 120V Line Interactive AVR Mini Tower,5823810
PSI5-1100MT120,$475.99,Liebert PSI5 PSI5-1100MT120 - UPS - 675 Watt - 1100 VA - 9 Ah,6239565
PSI5-1500MT120,SKU Not found,Not applicable,Not applicable
PR750LCD,SKU Not found,Not applicable,Not applicable
PR1000LCD,SKU Not found,Not applicable,Not applicable
PR1500LCD,SKU Not found,Not applicable,Not applicable
PR2200LCD,SKU Not found,Not applicable,Not applicable
PR3000LCD,SKU Not found,Not applicable,Not applicable
SMX1000C,SKU Not found,Not applicable,Not applicable
SMX1500RM2U,SKU Not found,Not applicable,Not applicable
SMX2000RMLV2U,SKU Not found,Not applicable,Not applicable
SMX3000RMLV2U,SKU Not found,Not applicable,Not applicable
5PX1000RT,SKU Not found,Not applicable,Not applicable
5PX1500RT,SKU Not found,Not applicable,Not applicable
5PX2200RT,SKU Not found,Not applicable,Not applicable
5PX3000RT2U,SKU Not found,Not applicable,Not applicable
SMART750RMXL2U,SKU Not found,Not applicable,Not applicable
SMART1500RMXL2UA,$864.99,Tripp Lite 1500VA 1350W UPS Smart Rackmount LCD USB DB9 2U Extended Run,642303
SMART2200RMXL2U,"$1,279.99",Tripp Lite 2200VA 1920W UPS Smart Rackmount AVR 120V LCD USB DB9 2URM,443343
SMART3000RMXL2U,"$1,463.99",Tripp Lite UPS 3000VA 2880W Smart Rackmount AVR 120V USB DB9 SNMP 2URM,1933875
PSI5-1100RT120,SKU Not found,Not applicable,Not applicable
PSI5-1500RT120,SKU Not found,Not applicable,Not applicable
PSI5-2200RT120,SKU Not found,Not applicable,Not applicable
PSI5-3000RT120,SKU Not found,Not applicable,Not applicable
PR1000LCDRTXL2U,$875.99,CyberPower Professional Rack Mount LCD Series PR1500ELCDRTXL2U - UPS - 1.12,3642129
PR1500LCDRTXL2U,SKU Not found,Not applicable,Not applicable
PR2200LCDRTXL2U,SKU Not found,Not applicable,Not applicable
PR3000LCDRTXL2U,SKU Not found,Not applicable,Not applicable
SRT1000RMXLA,SKU Not found,Not applicable,Not applicable
SRT1500RMXLA,SKU Not found,Not applicable,Not applicable
SRT2200RMXLA,SKU Not found,Not applicable,Not applicable
SRT3000RMXLA,SKU Not found,Not applicable,Not applicable
SRT5KRMXLT,SKU Not found,Not applicable,Not applicable
SRT6KRMXLT,SKU Not found,Not applicable,Not applicable
SRT8KRMXLT,SKU Not found,Not applicable,Not applicable
SRT10KRMXLT,SKU Not found,Not applicable,Not applicable
9PX700RT,$824.99,Eaton 9PX Online UPS 700VA 630W 120V 2U Rack/Tower Network Card Optional,4441529
9PX1000RT,"$1,031.99",Eaton 9PX Online UPS 1000VA 900 Watt 120V 2U Rack/Tower Network Card Opt.,4440947
9PX1500RT,SKU Not found,Not applicable,Not applicable
9PX2000RT,SKU Not found,Not applicable,Not applicable
9PX3000RT,SKU Not found,Not applicable,Not applicable
9PX5K,SKU Not found,Not applicable,Not applicable
9PX6K,SKU Not found,Not applicable,Not applicable
9PX8K,SKU Not found,Not applicable,Not applicable
9PX11K,SKU Not found,Not applicable,Not applicable
SU750RTXLCD2U,SKU Not found,Not applicable,Not applicable
SU1000RTXLCD2U,SKU Not found,Not applicable,Not applicable
SU1500RTXLCD2U,"$1,109.99",Tripp Lite UPS 1500VA Smart Online Rackmount LCD USB 2URM Sine Wave,2762431
SU2200RTXLCD2U,"$1,709.99",Tripp Lite UPS 2200VA 1800W Smart Online Rackmount LCD Sine Wave USB DB9,2772914
SU3000RTXLCD3U,"$2,125.99",Tripp Lite UPS 3000VA Smart Online LCD Rackmount USB 3URM RT Sine Wave USB,2852723
SU5000RT4UHV,"$3,576.99",Tripp Lite 5kVA UPS Smart Online Rackmount High Voltage 208/240V USB DB9 4U,1977334
SU6000RT4UHV,SKU Not found,Not applicable,Not applicable
SU8000RT3U,SKU Not found,Not applicable,Not applicable
SU10000RT3U,SKU Not found,Not applicable,Not applicable
GXT5-750LVRT2UXL,SKU Not found,Not applicable,Not applicable
GXT5-1000LVRT2UXL,SKU Not found,Not applicable,Not applicable
GXT5-1500LVRT2UXL,SKU Not found,Not applicable,Not applicable
GXT5-2000LVRT2UXL,SKU Not found,Not applicable,Not applicable
GXT5-3000LVRT2UXLN,"$3,489.99","Vertiv Liebert GXT5 UPS-3000VA/2700W,110-125V,Online UPS with SNMP/Webcard",5757570
GXT5-5000HVRT5UXLN,"$5,044.99","Vertiv Liebert GXT5 UPS - 5kVA/5000W, 208V, Double Conversion Online UPS",5673710
GXT5-6000MVRT4UXLN,"$6,345.99",Vertiv Liebert GXT5 UPS-6kVA/6kW/208 and 120V|Online Rack Tower Energy Star,5673713
GXT5-8000HVRT5UXLN ,"$6,924.99","Vertiv Liebert GXT5 UPS - 8kVA/8000W, 208V, Double Conversion Online UPS",5673718
GXT5-10KHVRT5UXLN,"$8,049.99","Vertiv Liebert GXT5 UPS - 10kVA/10000W, 208V, Double Conversion Online UPS",5673720
OL1000RTXL2U,SKU Not found,Not applicable,Not applicable
OL1500RTXL2U,SKU Not found,Not applicable,Not applicable
OL2200RTXL2U,SKU Not found,Not applicable,Not applicable
OL3000RTXL2U,SKU Not found,Not applicable,Not applicable
OL5KRTHD,"$4,809.95",CyberPower Smart App Online OL5KRTHD - UPS - 5000 Watt - 5000 VA,5679095
OL6KRTHD,"$5,234.95",CyberPower Smart App Online OL6KRTHD - UPS - 6000 Watt - 6000 VA,5658040
SRTL3KRM1UC,"$5,356.99","APC Smart-UPS Ultra 3000VA 120V 1U, Lithium-Ion Battery and SmartConnect",6699050
9PX1500RT-L,"$2,951.99",Eaton 9PX Lithium-Ion UPS 1500VA 1350W 120V 2U Rack/Tower Network Card Opt.,6431369
9PX2000RT-L,"$3,588.99",Eaton 9PX Lithium-Ion UPS 2000VA 1800W 120V 2U Rack/Tower UPS Net Card Opt.,6408323
9PX3000RT-L,"$5,469.99",Eaton 9PX Lithium-Ion UPS 3000VA 2400W 120V 2U Rack/Tower Network Card Opt.,6464257
GXT5LI-1500LVRT2UXL,SKU Not found,Not applicable,Not applicable
GXT5LI-2000LVRT2UXL,SKU Not found,Not applicable,Not applicable
GXT5LI-3000LVRT2UXL,SKU Not found,Not applicable,Not applicable
SRT1000XLA,$949.99,APC Smart-UPS SRT 1000VA Sinewave Tower 120V,4628344
SRT1500XLA,"$1,086.99",APC Smart-UPS SRT 1500VA Sinewave Tower 120V,4628358
SRT2200XLA,"$1,845.99",APC Smart-UPS SRT 2200VA Sinewave Tower 120V TAA,4254476
SRT2200RMXLI,SKU Not found,Not applicable,Not applicable
SRT3000RMXLA,SKU Not found,Not applicable,Not applicable
SRT3000RMXLW-IEC,"$3,771.99",APC Smart-UPS SRT 3000VA RM - UPS - 2700 Watt - 3000 VA,3904148
9SX700,$749.99,Eaton 9SX UPS 700VA 630W 120V Network Card Optional Tower UPS Ext. Runtime,5362691
9SX1000,SKU Not found,Not applicable,Not applicable
9SX1500,SKU Not found,Not applicable,Not applicable
9SX2000,SKU Not found,Not applicable,Not applicable
9SX2000G,"$1,672.99",Eaton 9SX UPS 2000VA 1800W 208V Network Card Optional Tower UPS Ext Runtime,5325360
9SX3000,SKU Not found,Not applicable,Not applicable
9SX3000G,"$2,756.99",Eaton 9SX UPS 3000VA 2700W 208V Network Card Optional Tower UPS Ext Runtime,5325367
SU750XL,$579.99,Tripp Lite UPS 750VA 600W Smart Online Tower 100V/110V/120V USB DB9 SNMP RT,1030406
SU1000XLCD,$767.99,Tripp Lite UPS 1000VA 900W Smart Online LCD Tower 120V USB DB9 RS232 EPO,3027193
SU1500XLCD,$993.99,Tripp Lite UPS 1500VA 1350W Smart Online LCD Tower 120V USB DB9 SNMP RT,3004604
SU2200XLCD,"$1,403.99",Tripp Lite UPS 2200VA 1800W Smart Online LCD Tower 120V USB DB9 SNMP RT,3004606
SU3000XLCD,SKU Not found,Not applicable,Not applicable
SUINT3000XLCD,"$1,638.99",Tripp Lite UPS SmartOnline 230V 3kVA 2700W On-Line Double-Conversion LCD,4488675
GXT5-750LVRT2UXL,SKU Not found,Not applicable,Not applicable
GXT5-1000LVRT2UXL,SKU Not found,Not applicable,Not applicable
GXT5-1500LVRT2UXL,SKU Not found,Not applicable,Not applicable
GXT5-2000LVRT2UXL,SKU Not found,Not applicable,Not applicable
GXT5-3000LVRT2UXL,SKU Not found,Not applicable,Not applicable
OL1000RTXL2U,SKU Not found,Not applicable,Not applicable
OL1500RTXL2U,SKU Not found,Not applicable,Not applicable
OL2200RTXL2U,SKU Not found,Not applicable,Not applicable
OL3000RTXL2U,SKU Not found,Not applicable,Not applicable
OL3000RTXL2UHV,"$2,569.95",CyberPower Smart App Online OL3000RTXL2UHVN - UPS - 2.7 kW - 3000 VA,5457285
SYA4K8P,"$10,623.99",APC Symmetra LX 4kVA Scalable to 8kVA N+1,595164
SYA8K8P,SKU Not found,Not applicable,Not applicable
SYA12K16P,SKU Not found,Not applicable,Not applicable
SYA16K16P,SKU Not found,Not applicable,Not applicable
9PXM8S4K,SKU Not found,Not applicable,Not applicable
9PXM8S8K,"$11,748.99",Eaton 9PXM UPS 8 kVA scalable to 16 kVA Hardwired 208-240V 14U Rack/Tower,5281825
9PXM8S12K,"$15,304.99",Eaton 9PXM UPS 12 kVA scalable to 16 kVA Hardwired 208-240V 14U Rack/Tower,5281831
9PXM8S16K,SKU Not found,Not applicable,Not applicable
SYA4K8P,"$10,623.99",APC Symmetra LX 4kVA Scalable to 8kVA N+1,595164
SYA8K8P,SKU Not found,Not applicable,Not applicable
SYA12K16P,SKU Not found,Not applicable,Not applicable
SYA16K16P,SKU Not found,Not applicable,Not applicable
9PXM8S4K-PD,SKU Not found,Not applicable,Not applicable
9PXM8S8K-PD,SKU Not found,Not applicable,Not applicable
9PXM12S12K-PD,SKU Not found,Not applicable,Not applicable
9PXM12S16K-PD,"$19,678.00",Eaton 9PXM UPS Hardwired 16 kVA scalable to 20 kVA 208-240V 21U Rack/Tower,5281846
AP9567,$231.99,"APC Basic Rack PDU 0U, Vertical, 15A, (14) 5-15, 100/120V",485898
AP4450,SKU Not found,Not applicable,Not applicable
CR42U11001,"$2,017.99",CyberPower Carbon CR42U11001 rack - 42U,4429518
AP8941,"$1,336.99","APC Switched Rack PDU 2G 0U, 30A, (21) C13 (3) C19, 200/208V",2239437
AP8841,$773.99,"APC Metered Rack PDU 2G  0U Vertical, 30A, (36) C13 (6) C19 200/208V",2158928
EPBZ73,SKU Not found,Not applicable,Not applicable
EATS115,$957.99,Eaton ATS Rack PDU 1U 120V 1.44 kW 2 5-15P Input and 10 5-15R Single-Phase,3898517
EBA110-10,$839.99,Eaton Basic Rack PDU 1.92kW max 200-240V 16A TAA Compliant Single-Phase PDU,3907186
EMA107-10,"$1,432.99",Eaton Managed Rack PDU 5.76 kW max 200-240V 24A 24 Outlet Single-Phase PDU,3549489
EMI104-10,$703.99,Eaton Metered Input Rack PDU 5.76 kW max 200-240V 24A 0U Single-Phase PDU,3266516
PDUV15,SKU Not found,Not applicable,Not applicable
PDUMH15ATNET,$612.99,Tripp Lite PDU Switched ATS 120V 15A 5-15R 8 Outlet 2 5-15P Horizontal 1URM,1136738
PDUMVR30HVNETLX,"$1,395.99",Tripp Lite PDU Switched Outlet Monitoring 208/240V 20 C13 4 C19 LX Platform,4551418
PDUMNV30HV2LX,$609.99,Tripp Lite PDU Monitored 208/240V 36 C13 6 C19 L6-30P 0URM,4884378
AR3100,SKU Not found,Not applicable,Not applicable
AR3150,SKU Not found,Not applicable,Not applicable
RSV4261B,SKU Not found,Not applicable,Not applicable
RSV4281B,SKU Not found,Not applicable,Not applicable
SR42UB,SKU Not found,Not applicable,Not applicable
SR42UBWD,SKU Not found,Not applicable,Not applicable
CR42U11001,"$2,017.99",CyberPower Carbon CR42U11001 rack - 42U,4429518
SMTL1500RM3UC,SKU Not found,Not applicable,Not applicable
5P1550GR-L,"$2,169.99",Eaton 5P UPS 1550VA 1100 Watt 230V 1U Lithium-Ion Rackmount/Wallmount UPS,4836915
5P1500R-L,"$1,994.99",Eaton 5P UPS 1440VA 1100W 120V 1U Rackmount Lithium-Ion Net Card Optional,5508383
SMART1000RM2UL,"$1,519.99",Tripp Lite UPS SmartPro Lithium Battery Backup - 120V 1kVA 800W Line In,5365615
SMART1500RM2UL,"$1,797.99",Tripp Lite 1500VA 1440W UPS Smart Lithium Ion Sine Wave LCD,5180810
SMART2200RM2UL,"$2,236.99",Tripp Lite 2200VA UPS Smart Lithium Ion LiFePO4 AVR USB 2U,4717855
PSI5-1500RT120LI,SKU Not found,Not applicable,Not applicable
SRT10KXLTUS,"$9,688.99",APC Smart-UPS SRT 10000VA 208V - TAA Compliant,5115493
K41012000000000,"$13,017.99",Eaton 9155 - power array - 9 kW - 10000 VA,1336340
GXT5-10KMVRT6UXLN,"$9,399.99","Vertiv Liebert GXT5 UPS-10kVA/10kW/208, 120V|Online Rack Tower Energy Star",5669104
SURT15KRMXLT-TF5,"$16,798.99",APC Smart-UPS RT 15KVA RM,1762070
K41512000000000,SKU Not found,Not applicable,Not applicable
GXT5-15KMVRT11UXLN,"$15,127.99",Vertiv Liebert GXT5 UPS - 15kVA/15kW|208 and 120VAC|Online UPS Rack/Tower,6184820
AS3C0NCXGNNXLKB,SKU Not found,Not applicable,Not applicable
GVSUPS10KB2FS,"$12,405.99",Schneider Electric Galaxy VS GVSUPS10KB2FS - UPS - 10 kW - 10000 VA,6099088
SUVTP10KH1B4S,SKU Not found,Not applicable,Not applicable
E3SUPS10KFBS,"$9,729.99",Schneider Electric Easy UPS 3S E3SUPS40KFBS - UPS - 3:3 UPS for internal ba,7209736
KA1012100000010,SKU Not found,Not applicable,Not applicable
EXS101B0010A0A0,SKU Not found,Not applicable,Not applicable
SUVTP15KF4B4S,SKU Not found,Not applicable,Not applicable
GVSUPS15KB4FS,"$16,649.99",APC Galaxy VS GVSUPS15KB4FS - UPS - 15 kW - 15000 VA,6030755
E3SUPS15KFBS,"$6,816.99",Schneider Electric Easy UPS 3S E3SUPS15KFBS - UPS - 3:3 UPS for internal ba,7170234
KA1512100000010,"$17,283.99",Powerware 9355,868864
GVSUPS20KB2GS,SKU Not found,Not applicable,Not applicable
E3SUPS20KFBS,"$9,729.99",Schneider Electric Easy UPS 3S E3SUPS40KFBS - UPS - 3:3 UPS for internal ba,7209736
KB2013100000010,"$20,554.99",Powerware 9355 20000 VA Power Array,928323
M90-20k10BM,SKU Not found,Not applicable,Not applicable
SUVTR30KF4B5S,SKU Not found,Not applicable,Not applicable
GVSUPS30K0B5FS,"$15,877.99",Schneider Electric Galaxy VS GVSUPS30K0B5FS - UPS - 30 kW - 30000 VA,6185509
E3SUPS30KFBS,"$12,299.99",Schneider Electric Easy UPS 3S E3SUPS30KFBS - UPS - 30 kW - 30000 VA,7170247
KB3013100000010,"$24,226.99",Eaton 9355 UPS 30kVA,936390
53S30HCER200,SKU Not found,Not applicable,Not applicable
